[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000205s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000242s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000378s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000430s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_parse ] --START--
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | NOTIC: [8] Undefined variable: message dc3f4348b92bb672ad42baef1f696288.php 第 84 行.
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.004750s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004791s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000306s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000210s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000123s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000199s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000935s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000168s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000202s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000620s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000761s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000315s ]
[ 2014-11-20T14:42:03+08:00 ] /work/server_1/server_admin_1/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000387s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000110s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000190s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000109s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000150s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000826s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000955s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.006342s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006424s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000212s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000158s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000114s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000150s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000724s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000147s ]
[ 2014-11-20T14:42:15+08:00 ] /work/server_1/server_admin_1/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000177s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Run CheckRoute Behavior [ RunTime:0.000315s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000445s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000336s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000458s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | NOTIC: [2048] Declaration of BaseModel::add() should be compatible with that of Model::add() BaseModel.class.php 第 2 行.
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | NOTIC: [2048] Declaration of BaseModel::delete() should be compatible with that of Model::delete() BaseModel.class.php 第 2 行.
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | NOTIC: [2048] Declaration of BaseModel::select() should be compatible with that of Model::select() BaseModel.class.php 第 2 行.
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | SQL: SHOW COLUMNS FROM `account` [ RunTime:0.004018s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | SQL: /*D:\zf\work\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from account order by account_id desc [ RunTime:0.000527s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ view_template ] --START--
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000333s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000398s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Run ParseTemplate Behavior [ RunTime:0.005818s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005875s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Run ContentReplace Behavior [ RunTime:0.000195s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Run TokenBuild Behavior [ RunTime:0.000129s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000073s ]
