[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=7 [ RunTime:0.007160s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=7 [ RunTime:0.007096s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=8 [ RunTime:0.025189s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=7 [ RunTime:0.006939s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=12 [ RunTime:0.006348s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=11 [ RunTime:0.007992s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=9 [ RunTime:0.028538s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=16 [ RunTime:0.430199s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=14 [ RunTime:0.006363s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=15 [ RunTime:0.006279s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=19 [ RunTime:0.006752s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=20 [ RunTime:0.006799s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=6 [ RunTime:0.029056s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=19 [ RunTime:0.006189s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=13 [ RunTime:0.006804s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=8 [ RunTime:0.035905s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=6 [ RunTime:0.007286s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=7 [ RunTime:0.042325s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=18 [ RunTime:0.006927s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `hospital` where 1 and status=2  and id=17 [ RunTime:0.007030s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Tag[ view_template ] --START--
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Run LocationTemplate Behavior [ RunTime:0.012865s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.012951s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
